scenario_id,decision_date,charter_action,recommended_vessel,current_freight_index,optimal_entry_day,expected_cost_now_usd,expected_cost_optimal_usd,estimated_savings_usd,estimated_savings_pct,risk_level,primary_reason,risk_summary
SCN_01_PARADIP_COAL_2016_TROUGH,2016-02-15,CHARTER NOW,Panamax,334.0,0,127650.0,127650.0,0.0,0.0,HIGH,Freight rate for Panamax is forecasted to rise by +16.1% over the next 7 trading sessions. Chartering now avoids higher future hire costs.,High forecast uncertainty band (25.3% interval width at day 7).; Elevated historical freight return volatility (153.4% daily vol).
SCN_02_VIZAG_COAL_2016_RECOVERY,2016-08-10,FLEXIBLE / MONITOR,Supramax,642.0,0,179832.0,179832.0,0.0,0.0,HIGH,Projected price movement (-4.5%) is within standard market noise and uncertainty margins. Monitor rate movements across the laycan window before fixing.,Elevated historical freight return volatility (26.9% daily vol).; Coastal weather disruption alert at destination port approach.
SCN_03_GANGAVARAM_ORE_2017_BULL,2017-06-20,FLEXIBLE / MONITOR,Capesize,1110.0,7,365800.0,267318.4,98481.6,26.92,HIGH,Projected price movement (-35.1%) is within standard market noise and uncertainty margins. Monitor rate movements across the laycan window before fixing.,High forecast uncertainty band (49.2% interval width at day 7).; Capesize segment exhibits structural volatility and convex tail movements.; Elevated historical freight return volatility (314.2% daily vol).; Geopolitical Risk spike detected (1.51x above baseline MA30).
SCN_04_DHAMRA_COAL_2017_EXPANSION,2017-10-16,CHARTER NOW,Panamax,1637.0,0,397862.5,397862.5,0.0,0.0,MEDIUM,Freight rate for Panamax is forecasted to rise by +18.3% over the next 7 trading sessions. Chartering now avoids higher future hire costs.,Elevated historical freight return volatility (95.7% daily vol).
SCN_05_GOPALPUR_LIMESTONE_2018_PEAK,2018-04-12,FLEXIBLE / MONITOR,Supramax,1014.0,0,189960.0,189960.0,0.0,0.0,HIGH,Projected price movement (-2.7%) is within standard market noise and uncertainty margins. Monitor rate movements across the laycan window before fixing.,Elevated historical freight return volatility (46.9% daily vol).; Geopolitical Risk spike detected (2.54x above baseline MA30).
SCN_06_HALDIA_COAL_2018_DRAFT_RESTRICTED,2018-07-18,FLEXIBLE / MONITOR,Handysize,561.0,0,112320.0,112320.0,0.0,0.0,MEDIUM,Projected price movement (+0.5%) is within standard market noise and uncertainty margins. Monitor rate movements across the laycan window before fixing.,Elevated historical freight return volatility (26.1% daily vol).
SCN_07_PARADIP_COAL_2018_TARIFF_SHOCK,2018-09-25,CHARTER NOW,Panamax,1639.0,0,421275.0,421275.0,0.0,0.0,HIGH,Freight rate for Panamax is forecasted to rise by +10.2% over the next 7 trading sessions. Chartering now avoids higher future hire costs.,Elevated historical freight return volatility (89.1% daily vol).; Elevated Geopolitical Risk ratio (1.19x).
SCN_08_VIZAG_ORE_2019_BRUMADINHO_SLUMP,2019-02-14,CHARTER NOW,Panamax,619.0,0,170062.5,170062.5,0.0,0.0,HIGH,Freight rate for Panamax is forecasted to rise by +13.9% over the next 7 trading sessions. Chartering now avoids higher future hire costs.,Moderate forecast uncertainty (13.7% interval width).; Elevated historical freight return volatility (82.6% daily vol).
SCN_09_DHAMRA_COAL_2019_PRE_MONSOON,2019-05-20,CHARTER NOW,Panamax,1256.0,0,332600.0,332600.0,0.0,0.0,MEDIUM,Freight rate for Panamax is forecasted to rise by +5.1% over the next 7 trading sessions. Chartering now avoids higher future hire costs.,Elevated historical freight return volatility (52.0% daily vol).
SCN_10_GANGAVARAM_ORE_2019_CAPESIZE_SQUEEZE,2019-07-10,CHARTER NOW,Capesize,3361.0,0,996080.0,996080.0,0.0,0.0,HIGH,Freight rate for Capesize is forecasted to rise by +19.0% over the next 7 trading sessions. Chartering now avoids higher future hire costs.,Moderate forecast uncertainty (16.3% interval width).; Capesize segment exhibits structural volatility and convex tail movements.; Elevated historical freight return volatility (506.1% daily vol).
